Date,Open,High,Low,Close,Volume,Adj_Close,returns_1,returns_2,returns_3,returns_4,returns_5,returns_today,returns_cfp,returns_yesterday,volatility,p_volume,negpercent,pospercent
1950-01-04,16.85,16.85,16.85,16.85,1890000.0,16.85,0.0,0.002953337271116352,0.008860011813349056,0.005906674542232704,0.00945067926757237,0.0,,,,,,
1950-01-05,16.93,16.93,16.93,16.93,2550000.0,16.93,0.0,0.005889281507655886,0.002944640753828054,0.006478209658421719,-0.012956419316843326,0.0,0.004747774480712064,0.0,,,,
1950-01-06,16.98,16.98,16.98,16.98,2010000.0,16.98,0.0,-0.0029274004683839117,0.0005854800936768711,-0.01873536299765788,-0.024004683840749164,0.0,0.002953337271116352,0.0,,,,
1950-01-09,17.08,17.08,17.08,17.08,2520000.0,17.08,0.0,0.0035231943628888374,-0.015854374633000545,-0.021139166177334134,-0.018203170874926733,0.0,0.005889281507655886,0.0,,,,
1950-01-10,17.03,17.03,17.03,17.03,2160000.0,17.03,0.0,-0.01930953774136912,-0.024575775307197123,-0.02165008777062616,-0.01345816266822708,0.0,-0.0029274004683839117,0.0,,,,
1950-01-11,17.09,17.09,17.09,17.09,2630000.0,17.09,0.0,-0.005369928400954627,-0.0023866348448688957,0.005966587112171684,0.005369928400954738,0.0,0.0035231943628888374,0.0,,,,
1950-01-12,16.76,16.76,16.76,16.76,2970000.0,16.76,0.0,0.0029994001199757925,0.011397720455908589,0.010797840431913563,0.011997600479904058,0.0,-0.01930953774136912,0.0,,,,
1950-01-13,16.67,16.67,16.67,16.67,3330000.0,16.67,0.0,0.00837320574162681,0.007775119617225101,0.008971291866028741,0.010765550239234534,0.0,-0.005369928400954627,0.0,,,,
1950-01-16,16.72,16.72,16.72,16.72,1460000.0,16.72,0.0,-0.0005931198102014923,0.0005931198102018254,0.0023724792408066353,0.003558718861210064,0.0,0.0029994001199757925,0.0,,,,
1950-01-17,16.86,16.86,16.86,16.86,1790000.0,16.86,0.0,0.001186943620178127,0.0029673590504448732,0.004154302670623222,0.0005934718100888414,0.0,0.00837320574162681,0.0,,,,
1950-01-18,16.85,16.85,16.85,16.85,1570000.0,16.85,0.0,0.0017783046828687699,0.0029638411381149865,-0.0005927682276231083,-0.007705986959099187,0.0,-0.0005931198102014923,0.0,0.0,,,
1950-01-19,16.87,16.87,16.87,16.87,1170000.0,16.87,0.0,0.0011834319526629056,-0.002366863905325367,-0.009467455621301801,-0.010059171597633032,0.0,0.001186943620178127,0.0,0.0,,,
1950-01-20,16.9,16.9,16.9,16.9,1440000.0,16.9,0.0,-0.0035460992907803135,-0.010638297872340607,-0.011229314420803882,-0.005910165484633634,0.0,0.0017783046828687699,0.0,0.0,,,
1950-01-23,16.92,16.92,16.92,16.92,1340000.0,16.92,0.0,-0.007117437722420017,-0.007710557532621509,-0.0023724792408066353,0.009489916963226541,0.0,0.0011834319526629056,0.0,0.0,,,
1950-01-24,16.86,16.86,16.86,16.86,1250000.0,16.86,0.0,-0.0005973715651134137,0.004778972520908198,0.016726403823178027,0.0185185185185186,0.0,-0.0035460992907803135,0.0,0.0,,,
1950-01-25,16.74,16.74,16.74,16.74,1700000.0,16.74,0.0,0.005379557680812885,0.017334130304841544,0.019127316198445987,0.019127316198445987,0.0,-0.007117437722420017,0.0,0.0,,,
1950-01-26,16.73,16.73,16.73,16.73,1150000.0,16.73,0.0,0.01189060642092743,0.013674197384066611,0.013674197384066611,0.024375743162901253,0.0,-0.0005973715651134137,0.0,0.0,,,
1950-01-27,16.82,16.82,16.82,16.82,1250000.0,16.82,0.0,0.001762632197414904,0.001762632197414904,0.012338425381903662,0.015863689776733247,0.0,0.005379557680812885,0.0,0.0,,,
1950-01-30,17.02,17.02,17.02,17.02,1640000.0,17.02,0.0,0.0,0.010557184750733084,0.014076246334310705,0.015835777126099737,0.0,0.01189060642092743,0.0,0.0,,,
1950-01-31,17.05,17.05,17.05,17.05,1690000.0,17.05,0.0,0.010557184750733084,0.014076246334310705,0.015835777126099737,0.010557184750733084,0.0,0.001762632197414904,0.0,0.0,,,
1950-02-01,17.05,17.05,17.05,17.05,1810000.0,17.05,0.0,0.0034822983168891763,0.0052234474753336535,0.0,-0.0011607661056296514,0.0,0.0,0.0,0.0,,,
1950-02-02,17.23,17.23,17.23,17.23,2040000.0,17.23,0.0,0.001735106998264957,-0.003470213996529692,-0.0046269519953729965,-0.0005783689994215413,0.0,0.010557184750733084,0.0,0.0,,,
1950-02-03,17.29,17.29,17.29,17.29,2210000.0,17.29,0.0,-0.0051963048498845366,-0.006351039260969915,-0.002309468822170868,-0.004618937644341958,0.0,0.0034822983168891763,0.0,0.0,,,
1950-02-06,17.32,17.32,17.32,17.32,1490000.0,17.32,0.0,-0.0011607661056296514,0.0029019152640743506,0.0005803830528148257,-0.009866511897852703,0.0,0.001735106998264957,0.0,0.0,,,
1950-02-07,17.23,17.23,17.23,17.23,1360000.0,17.23,0.0,0.004067402672864651,0.0017431725740846282,-0.008715862870424251,-0.008715862870424251,0.0,-0.0051963048498845366,0.0,0.0,,,
1950-02-08,17.21,17.21,17.21,17.21,1470000.0,17.21,0.0,-0.0023148148148149916,-0.012731481481481621,-0.012731481481481621,-0.01678240740740755,0.0,-0.0011607661056296514,0.0,0.0,,,
1950-02-09,17.28,17.28,17.28,17.28,1810000.0,17.28,0.0,-0.01044083526682138,-0.01044083526682138,-0.014501160092807441,-0.0052204176334106345,0.0,0.004067402672864651,0.0,0.0,,,
